id_emissao,ano,co2_1a_ordem,co2_2a_ordem,co2_por_fogo,co2_por_decaimento,ch4_eq_fogo,n2o_eq_fogo,net_co2_1a_ordem,net_co2_2a_ordem,area_total_secundaria,area_cortada,co2_emitido_secundaria,co2_absorvido_secundaria,id_regiao_administrativa
21,1980,1172.0,827.0,380.0,446.0,41.0,12.0,,799.0,4265588.0,115415.0,15.0,-43.0,1
22,1981,1147.0,914.0,372.0,542.0,40.0,12.0,,886.0,4707638.0,129570.0,17.0,-45.0,1
23,1982,1147.0,970.0,372.0,598.0,40.0,12.0,,937.0,5149688.0,137060.0,19.0,-52.0,1
24,1983,1147.0,1007.0,372.0,634.0,40.0,12.0,,970.0,5591738.0,152830.0,21.0,-58.0,1
25,1984,1147.0,1032.0,372.0,660.0,40.0,12.0,,990.0,6033788.0,160746.0,22.0,-64.0,1
26,1985,1147.0,1050.0,372.0,677.0,40.0,12.0,,1005.0,6475838.0,186986.0,25.0,-70.0,1
27,1986,1147.0,1063.0,372.0,690.0,40.0,12.0,,1015.0,6917888.0,224934.0,29.0,-76.0,1
28,1987,1147.0,1072.0,372.0,700.0,40.0,12.0,,1023.0,7359938.0,249581.0,32.0,-82.0,1
29,1988,1147.0,1080.0,372.0,707.0,40.0,12.0,,1028.0,7801988.0,273450.0,35.0,-87.0,1
30,1989,968.0,1028.0,314.0,713.0,34.0,10.0,,982.0,8175158.0,315170.0,40.0,-85.0,1
31,1990,748.0,923.0,242.0,680.0,26.0,8.0,,875.0,8463488.0,338382.0,43.0,-91.0,1
32,1991,601.0,808.0,195.0,612.0,21.0,6.0,,757.0,8695118.0,360325.0,45.0,-96.0,1
33,1992,751.0,784.0,243.0,540.0,26.0,8.0,,731.0,8984624.0,382625.0,48.0,-101.0,1
34,1993,812.0,790.0,263.0,527.0,28.0,8.0,,738.0,9297440.0,431497.0,53.0,-105.0,1
35,1994,812.0,794.0,263.0,531.0,28.0,8.0,,743.0,9610256.0,456019.0,56.0,-107.0,1
36,1995,1584.0,1047.0,514.0,533.0,56.0,17.0,,996.0,10220495.0,473986.0,60.0,-111.0,1
37,1996,990.0,1021.0,321.0,700.0,35.0,10.0,,969.0,10601876.0,486195.0,63.0,-115.0,1
38,1997,721.0,909.0,233.0,675.0,25.0,7.0,,855.0,10879643.0,519775.0,66.0,-119.0,1
39,1998,947.0,911.0,307.0,603.0,33.0,10.0,,852.0,11244686.0,533963.0,69.0,-128.0,1
40,1999,941.0,914.0,305.0,609.0,33.0,10.0,,853.0,11607125.0,551578.0,72.0,-133.0,1
41,2000,993.0,933.0,322.0,610.0,35.0,10.0,,872.0,11989871.0,572604.0,75.0,-136.0,1
42,2001,990.0,944.0,321.0,623.0,35.0,10.0,,883.0,12371336.0,626457.0,80.0,-141.0,1
43,2002,1093.0,993.0,362.0,630.0,39.0,12.0,,929.0,12540796.0,684795.0,82.0,-146.0,1
44,2003,1301.0,1074.0,432.0,641.0,47.0,14.0,,1010.0,13528762.0,695042.0,85.0,-149.0,1
45,2004,1410.0,1162.0,469.0,692.0,51.0,15.0,,1097.0,14111960.0,719606.0,89.0,-154.0,1
46,2005,954.0,1066.0,320.0,746.0,34.0,10.0,,1000.0,14511253.0,742490.0,92.0,-159.0,1
47,2006,747.0,936.0,246.0,689.0,26.0,8.0,,866.0,14811265.0,767321.0,96.0,-165.0,1
48,2007,633.0,824.0,206.0,617.0,22.0,6.0,,751.0,15055909.0,791493.0,100.0,-172.0,1
49,2008,699.0,780.0,229.0,551.0,25.0,7.0,,709.0,15327039.0,864789.0,106.0,-177.0,1
50,2009,438.0,663.0,141.0,521.0,15.0,4.0,,596.0,15483776.0,961414.0,114.0,-180.0,1
51,2010,415.0,585.0,134.0,451.0,14.0,4.0,,526.0,15666583.0,1081740.0,123.0,-182.0,1
52,2011,372.0,521.0,120.0,400.0,13.0,3.0,,468.0,15883428.0,1152330.0,132.0,-185.0,1
53,2012,250.0,440.0,82.0,357.0,9.0,2.0,,391.0,16130180.0,1176632.0,138.0,-186.0,1
54,2013,326.0,408.0,107.0,301.0,11.0,3.0,,363.0,16450917.0,1178590.0,142.0,-188.0,1
55,2014,276.0,373.0,91.0,281.0,9.0,3.0,,327.0,16766211.0,1184115.0,147.0,-192.0,1
56,2015,339.0,369.0,111.0,257.0,12.0,3.0,,322.0,17102683.0,1171711.0,150.0,-196.0,1
57,2016,444.0,398.0,145.0,252.0,15.0,4.0,,350.0,17467119.0,1171004.0,153.0,-200.0,1
58,2017,391.0,399.0,128.0,271.0,14.0,4.0,,351.0,17793830.0,1182476.0,156.0,-204.0,1
59,2018,424.0,409.0,139.0,270.0,15.0,4.0,,360.0,18116561.0,1194169.0,159.0,-208.0,1
60,2019,581.0,464.0,189.0,275.0,20.0,6.0,,414.0,18477956.0,1211042.0,162.0,-212.0,1
61,2020,633.0,517.0,206.0,311.0,22.0,6.0,,466.0,18843208.0,1222696.0,164.0,-215.0,1
