id_area_indigena,nome
255,Barreira da Missão
256,Kaxarari
257,Malacacheta
258,Trocará
259,Vale do Guaporé
260,Kararaô
261,Alto Turiaçu
262,Trincheira Bacaja
263,Ituna/Itatá
264,Kaxinawá do Rio Jordão
265,Jacareúba/Katauixi
266,Apyterewa
267,Nambikwara
268,Manoki
269,Awa
270,Xikrin do Rio Catete
271,Menkragnoti
272,Catipari/Mamoria
273,Amanayé
274,Sepoti
275,Zuruahã
276,Canauanim
277,Kampa e Isolados do Rio Envira
278,Igarapé Lourdes
279,Rio Mequens
280,Paukalirajausu
281,Deni
282,Jaminawa do Igarapé Preto
283,WaiWái
284,Pinatuba
285,Kaxinawá Seringal Independência
286,Mãe Maria
287,Mamoadate
288,Boqueirão
289,Bacurizinho
290,Katukina/Kaxinawá
291,Pacaas Novas
292,Alto Rio Guamá
294,Peneri/Tacaquiri
295,Kaxinawá da Praia do Carapanã
296,Arara
297,Maraiwatsede
298,Kayapó
299,Arariboia
300,Irantxe
301,Cana Brava/Guajajara
302,Arara da Volta Grande do Xingu
303,Rio Negro Ocaia
304,Cunhã-Sapucaia
305,Cachoeira Seca
306,Tenharim Marmelos
307,Moskow
308,Serra Morena
309,Parque do Aripuanã
310,Tabocal
311,Munduruku
312,Inauini/Teuini
313,Andirá-Marau
314,Yanomami
315,Jauary
316,Kaxuyana-Tunayana
318,Água Preta/Inari
319,Kampa do Igarapé Primavera
320,Koatinemo
321,Araweté Igarapé Ipixuna
322,Aripuanã
323,Gavião
324,Roosevelt
325,Apiaká do Pontal e Isolados
326,Arara do Igarapé Humaitá
327,Japuira
328,Porto Praia
329,Kampa do Rio Amônia
330,Caru
331,Sararé
332,Caititu
333,Itixi Mitari
334,Sawré Muybu (Pimental)
335,Setemã
336,Zoró
337,Sete de Setembro
338,Turé/Mariquita II
339,Nukini
341,Alto Rio Purus
342,Sarauá
343,Geralda Toco Preto
344,Boca do Acre
345,Coata-Laranjal
346,Kaxinawá Nova Olinda
347,Arara do Rio Amônia
348,Paquiçamba
349,Enawenê-Nawê
350,Baú
351,Urubu Branco
352,Murutinga/Tracaja
353,Araçá
354,Aningal
355,Sai-Cinza
356,Riozinho do Alto Envira
357,Cobra Grande
358,Pirahã
359,Paumari do Lago Marahã
360,Capoto/Jarina
361,Apurinã Km 124 BR-317
362,Rio Urubu
363,Kuruáya
364,Santa Inez
365,Kaxinawá Ashaninka do Rio Breu
366,Tenharim Marmelos (Gleba B)
367,Campinas/Katukina
368,Arara do Rio Branco
369,Piripkura
370,Tumiã
371,Tupã-Supé
372,Kaxinawá do Rio Humaitá
374,São Marcos - RR
375,Igarapé Lage
376,Panará
